SOC code,Job type,Related job titles
1111,Chief executives and senior officials,Chairpersons Chief executives Diplomats and foreign office officials Senior public service officials Chief executives and senior officials not elsewhere classified.
1112,Elected officers and representatives,Assembly members and Members of Parliament Councillors Elected officers and representatives not elsewhere classified.
1121,Production managers and directors in manufacturing,Production managers and directors in manufacturing
1122,Production managers and directors in construction,Production managers and directors in construction
1123,Production managers and directors in mining and energy,Managers and directors in the extraction of fossil fuels Managers and directors in the production of energy Production managers and directors in mining and energy not elsewhere classified.
1131,Financial managers and directors,"Bank, building society and post office managers Company secretaries and finance managers and directors Investment bankers and directors Financial managers and directors not elsewhere classified."
1132,"Marketing, sales and advertising directors","Advertising and marketing directors Sales directors Marketing, sales and advertising directors not elsewhere classified."
1133,Public relations and communications directors,Public relations and communications directors
1134,Purchasing managers and directors,Estimating managers and directors Procurement and purchasing managers and directors Purchasing managers and directors not elsewhere classified.
1135,Charitable organisation managers and directors,Charitable organisation managers and directors
1136,Human resource managers and directors,"Employee relations managers Equality, diversity and inclusion managers Learning and development managers and directors Recruitment managers and directors Human resources managers and directors not elsewhere classified."
1137,Information technology directors,Information security directors Information technology operations directors Information technology programme managers and directors Information technology technical directors Information technology directors not elsewhere classified.
1139,Functional managers and directors not elsewhere classified.,Accounts directors Administration directors Complaints and customer service directors Events directors Intellectual property managers and directors Municipal clerks Research and development directors Functional managers and directors not elsewhere classified.
1140,"Directors in logistics, warehousing and transport","Supply chain directors Directors in logistics, warehousing and transport not elsewhere classified."
1150,Managers and directors in retail and wholesale,Managers and directors in retail and wholesale
1161,Officers in armed forces,Army officers Royal Air Force officers Royal Marines officers Royal Navy officers Officers in armed forces not elsewhere classified.
1162,Senior police officers,"Chief, deputy chief and assistant chief constables Chief inspectors Chief superintendents Senior police officers not elsewhere classified."
1163,"Senior officers in fire, ambulance, prison and related services",Senior officers in ambulance services Senior officers in fire services Senior officers in immigration services Senior officers in prison services Senior officers in revenue and customs
1171,Health services and public health managers and directors,Clinical governance and information managers Healthcare service managers and directors Health services and public health managers and directors not elsewhere classified.
1172,Social services managers and directors,Social services managers and directors
1211,Managers and proprietors in agriculture and horticulture,Managers and proprietors in agriculture and horticulture
1212,"Managers and proprietors in forestry, fishing and related services","Cattery and kennel managers and proprietors Fisheries managers and proprietors Forestry managers Livery yard and stud farm managers and proprietors Racehorse trainers Managers and proprietors in forestry, fishing and related services not elsewhere classified."
1221,Hotel and accommodation managers and proprietors,Hotel and accommodation managers and proprietors
